Run Start Time: Wed Nov  8 12:18:36 2023
[0.45 0.05 0.05 0.45]	2.4999999999999996	[56, 67.01904761904763]
[0.43333333 0.05       0.1        0.41666667]	2.5	[57, 66.1952380952381]
[0.41666667 0.05       0.15       0.38333333]	2.5	[57, 67.38571428571429]
[0.4  0.05 0.2  0.35]	2.5	[56, 67.29047619047618]
[0.38333333 0.05       0.25       0.31666667]	2.5	[57, 67.66190476190476]
[0.36666667 0.05       0.3        0.28333333]	2.5	[56, 67.63333333333334]
[0.35 0.05 0.35 0.25]	2.5	[56, 67.44761904761904]
[0.33333333 0.05       0.4        0.21666667]	2.5	[57, 67.2047619047619]
[0.31666667 0.05       0.45       0.18333333]	2.5	[58, 69.05238095238094]
[0.3  0.05 0.5  0.15]	2.5	[57, 67.25238095238095]
[0.28333333 0.05       0.55       0.11666667]	2.5	[57, 67.65238095238095]
[0.26666667 0.05       0.6        0.08333333]	2.5	[56, 67.54761904761905]
[0.25 0.05 0.65 0.05]	2.5	[56, 67.68095238095238]
[0.23333333 0.05       0.7        0.01666667]	2.5	[55, 66.48095238095239]
[0.41666667 0.1        0.05       0.43333333]	2.5	[56, 67.32857142857142]
[0.4 0.1 0.1 0.4]	2.5	[56, 67.63809523809523]
[0.38333333 0.1        0.15       0.36666667]	2.5	[55, 66.42857142857143]
[0.36666667 0.1        0.2        0.33333333]	2.5	[56, 67.53333333333333]
[0.35 0.1  0.25 0.3 ]	2.5	[56, 67.74761904761905]
[0.33333333 0.1        0.3        0.26666667]	2.5	[57, 66.96190476190476]
[0.31666667 0.1        0.35       0.23333333]	2.5	[57, 67.86666666666667]
[0.3 0.1 0.4 0.2]	2.5	[57, 66.81904761904761]
[0.28333333 0.1        0.45       0.16666667]	2.5	[57, 67.57619047619048]
[0.26666667 0.1        0.5        0.13333333]	2.5	[58, 69.17142857142858]
[0.25 0.1  0.55 0.1 ]	2.5	[58, 69.43809523809523]
[0.23333333 0.1        0.6        0.06666667]	2.5	[57, 67.34761904761906]
[0.21666667 0.1        0.65       0.03333333]	2.4999999999999996	[57, 67.36190476190477]
[0.38333333 0.15       0.05       0.41666667]	2.5	[56, 66.4857142857143]
[0.36666667 0.15       0.1        0.38333333]	2.5	[56, 67.32380952380952]
[0.35 0.15 0.15 0.35]	2.5	[57, 67.66666666666666]
[0.33333333 0.15       0.2        0.31666667]	2.5	[57, 66.80952380952382]
[0.31666667 0.15       0.25       0.28333333]	2.5	[56, 67.04761904761905]
[0.3  0.15 0.3  0.25]	2.5	[57, 67.60000000000001]
[0.28333333 0.15       0.35       0.21666667]	2.5	[58, 69.20952380952382]
[0.26666667 0.15       0.4        0.18333333]	2.5	[58, 69.42857142857144]
[0.25 0.15 0.45 0.15]	2.5	[57, 67.8952380952381]
[0.23333333 0.15       0.5        0.11666667]	2.5	[57, 67.58571428571429]
[0.21666667 0.15       0.55       0.08333333]	2.5	[57, 67.36666666666666]
[0.2  0.15 0.6  0.05]	2.5	[58, 69.31428571428572]
[0.18333333 0.15       0.65       0.01666667]	2.5	[57, 66.83333333333333]
[0.35 0.2  0.05 0.4 ]	2.5	[56, 67.39999999999999]
[0.33333333 0.2        0.1        0.36666667]	2.5	[56, 67.56190476190476]
[0.31666667 0.2        0.15       0.33333333]	2.5	[55, 66.60952380952381]
[0.3 0.2 0.2 0.3]	2.5	[56, 67.25238095238095]
[0.28333333 0.2        0.25       0.26666667]	2.5	[56, 67.93809523809523]
[0.26666667 0.2        0.3        0.23333333]	2.5	[57, 67.43809523809524]
[0.25 0.2  0.35 0.2 ]	2.5	[56, 67.51428571428572]
[0.23333333 0.2        0.4        0.16666667]	2.5	[58, 68.8809523809524]
[0.21666667 0.2        0.45       0.13333333]	2.5	[57, 67.35238095238095]
[0.2 0.2 0.5 0.1]	2.5	[58, 69.0]
[0.18333333 0.2        0.55       0.06666667]	2.5	[57, 68.06666666666666]
[0.16666667 0.2        0.6        0.03333333]	2.5	[58, 69.14761904761905]
[0.31666667 0.25       0.05       0.38333333]	2.5	[56, 68.02380952380952]
[0.3  0.25 0.1  0.35]	2.5	[56, 67.54761904761905]
[0.28333333 0.25       0.15       0.31666667]	2.5	[56, 67.62857142857143]
[0.26666667 0.25       0.2        0.28333333]	2.5	[57, 67.74285714285713]
[0.25 0.25 0.25 0.25]	2.5	[57, 68.05714285714285]
[0.23333333 0.25       0.3        0.21666667]	2.5	[58, 69.04761904761905]
[0.21666667 0.25       0.35       0.18333333]	2.5	[58, 69.58095238095238]
[0.2  0.25 0.4  0.15]	2.5	[58, 69.63809523809525]
[0.18333333 0.25       0.45       0.11666667]	2.5	[57, 67.74285714285713]
[0.16666667 0.25       0.5        0.08333333]	2.5	[58, 69.04285714285714]
[0.15 0.25 0.55 0.05]	2.5	[58, 69.11904761904762]
[0.13333333 0.25       0.6        0.01666667]	2.5	[58, 69.56666666666666]
[0.28333333 0.3        0.05       0.36666667]	2.5	[56, 67.17142857142858]
[0.26666667 0.3        0.1        0.33333333]	2.5	[57, 66.85238095238094]
[0.25 0.3  0.15 0.3 ]	2.5	[57, 67.16190476190475]
[0.23333333 0.3        0.2        0.26666667]	2.5	[56, 67.96666666666667]
[0.21666667 0.3        0.25       0.23333333]	2.5	[56, 67.38571428571429]
[0.2 0.3 0.3 0.2]	2.5	[57, 67.31428571428572]
[0.18333333 0.3        0.35       0.16666667]	2.5	[57, 67.29523809523809]
[0.16666667 0.3        0.4        0.13333333]	2.5	[57, 68.05714285714285]
[0.15 0.3  0.45 0.1 ]	2.5	[58, 69.52857142857142]
[0.13333333 0.3        0.5        0.06666667]	2.5	[58, 69.5952380952381]
[0.11666667 0.3        0.55       0.03333333]	2.5	
