Run Start Time: Sun Aug  6 19:34:03 2023
[0.13333333 0.35       0.4        0.11666667]	[57, 67.76190476190477]
[0.25 0.2  0.35 0.2 ]	[56, 66.46666666666667]
[0.15 0.45 0.15 0.25]	[57, 66.9047619047619]
[0.08333333 0.6        0.05       0.26666667]	[56, 66.68571428571428]
[0.08333333 0.45       0.35       0.11666667]	[58, 68.81904761904762]
[0.16666667 0.35       0.3        0.18333333]	[58, 69.01904761904761]
[0.23333333 0.25       0.3        0.21666667]	[57, 67.13333333333334]
[0.21666667 0.3        0.25       0.23333333]	[57, 67.1047619047619]
[0.05 0.5  0.35 0.1 ]	[58, 68.28571428571428]
[0.03333333 0.65       0.1        0.21666667]	[56, 66.28571428571428]
[0.05 0.45 0.45 0.05]	[58, 68.39999999999999]
[0.31666667 0.1        0.35       0.23333333]	[57, 66.8]
[0.45 0.05 0.05 0.45]	[56, 66.53333333333333]
[0.2  0.25 0.4  0.15]	[56, 34.84761904761905]
[0.4  0.05 0.2  0.35]	[56, 67.12380952380953]
