Run Start Time: Wed Aug 28 13:24:39 2024
[0.13333333 0.45       0.2        0.21666667]DP1: 98.80 ;
[0.11666667 0.45       0.25       0.18333333]DP1: 98.87 ;
[0.1  0.45 0.3  0.15]DP1: 98.83 ;
[0.08333333 0.45       0.35       0.11666667]DP1: 98.81 ;
[0.06666667 0.45       0.4        0.08333333]DP1: 98.88 ;
[0.05 0.45 0.45 0.05]DP1: 98.31 ;
[0.03333333 0.45       0.5        0.01666667]DP1: 98.02 ;
[0.15 0.5  0.05 0.3 ]DP1: 98.21 ;
[0.13333333 0.5        0.1        0.26666667]DP1: 98.57 ;
[0.11666667 0.5        0.15       0.23333333]DP1: 98.67 ;
[0.1 0.5 0.2 0.2]DP1: 98.97 ;
[0.08333333 0.5        0.25       0.16666667]DP1: 98.76 ;
[0.06666667 0.5        0.3        0.13333333]DP1: 98.90 ;
[0.05 0.5  0.35 0.1 ]DP1: 98.64 ;
[0.03333333 0.5        0.4        0.06666667]DP1: 98.41 ;
[0.01666667 0.5        0.45       0.03333333]DP1: 97.70 ;
[0.11666667 0.55       0.05       0.28333333]DP1: 98.20 ;
[0.1  0.55 0.1  0.25]DP1: 98.60 ;
[0.08333333 0.55       0.15       0.21666667]DP1: 98.69 ;
[0.06666667 0.55       0.2        0.18333333]DP1: 98.68 ;
[0.05 0.55 0.25 0.15]DP1: 98.87 ;
[0.03333333 0.55       0.3        0.11666667]DP1: 98.60 ;
[0.01666667 0.55       0.35       0.08333333]DP1: 98.01 ;
[0.08333333 0.6        0.05       0.26666667]DP1: 98.32 ;
[0.06666667 0.6        0.1        0.23333333]DP1: 98.54 ;
[0.05 0.6  0.15 0.2 ]DP1: 98.74 ;
[0.03333333 0.6        0.2        0.16666667]DP1: 98.67 ;
[0.01666667 0.6        0.25       0.13333333]DP1: 98.55 ;
[0.05 0.65 0.05 0.25]DP1: 98.13 ;
[0.03333333 0.65       0.1        0.21666667]DP1: 98.46 ;
[0.01666667 0.65       0.15       0.18333333]DP1: 98.50 ;
[0.01666667 0.7        0.05       0.23333333]DP1: 97.61 ;
